2Simulación,Caudal (m³/s)
1399,1.814013
1400,1.817897
1401,1.814013
1402,1.810145
1403,1.815953
1404,1.821798
1405,1.817897
1406,1.808217
1407,1.817897
1408,1.804374
1409,1.814013
1410,1.810145
1411,1.821798
1412,1.815953
1413,1.815953
1414,1.815953
1415,1.810145
1416,1.814013
1417,1.808217
1418,1.825716
1419,1.808217
1420,1.821798
1421,1.819846
1422,1.810145
1423,1.814013
1424,1.808217
1425,1.812077
1426,1.821798
1427,1.810145
1428,1.819846
1429,1.815953
1430,1.800547
1431,1.817897
1432,1.819846
1433,1.808217
1434,1.817897
1435,1.808217
1436,1.812077
1437,1.815953
1438,1.812077
1439,1.814013
1440,1.806294
1441,1.819846
1442,1.810145
1443,1.817897
1444,1.810145
1445,1.819846
1446,1.812077
1447,1.806294
1448,1.814013
1449,1.823755
1450,1.819846
1451,1.817897
1452,1.819846
1453,1.812077
1454,1.808217
1455,1.812077
1456,1.815953
1457,1.815953
1458,1.815953
1459,1.810145
1460,1.806294
1461,1.812077
1462,1.821798
1463,1.815953
1464,1.812077
1465,1.817897
1466,1.819846
1467,1.823755
1468,1.812077
1469,1.815953
1470,1.812077
1471,1.819846
1472,1.814013
1473,1.812077
1474,1.804374
1475,1.812077
1476,1.817897
1477,1.817897
1478,1.802459
1479,1.810145
1480,1.817897
1481,1.814013
1482,1.819846
1483,1.806294
1484,1.815953
1485,1.821798
1486,1.814013
1487,1.823755
1488,1.814013
1489,1.815953
1490,1.812077
1491,1.800547
1492,1.815953
1493,1.815953
1494,1.815953
1495,1.810145
1496,1.815953
1497,1.814013
1498,1.814013
1499,1.812077
1500,1.815953
1501,1.808217
1502,1.819846
1503,1.814013
1504,1.817897
1505,1.810145
1506,1.804374
1507,1.819846
1508,1.815953
1509,1.815953
1510,1.814013
1511,1.815953
1512,1.812077
1513,1.815953
1514,1.817897
1515,1.814013
1516,1.821798
1517,1.808217
1518,1.808217
1519,1.802459
1520,1.806294
1521,1.812077
1522,1.814013
1523,1.819846
1524,1.812077
1525,1.821798
1526,1.808217
1527,1.812077
1528,1.810145
1529,1.812077
1530,1.812077
1531,1.815953
1532,1.819846
1533,1.814013
1534,1.815953
1535,1.817897
1536,1.806294
1537,1.806294
